directory,url,tier,has_backlink,check_date
Avvo,avvo.com,1,False,2025-03-23
FindLaw,findlaw.com,1,False,2025-03-23
Justia,justia.com,1,False,2025-03-23
HG.org,hg.org,2,False,2025-03-23
Martindale,martindale.com,2,False,2025-03-23
Nolo,nolo.com,2,False,2025-03-23
LawLink,lawlink.com,2,False,2025-03-23
Lawyer.com,lawyer.com,2,False,2025-03-23
LegalMatch,legalmatch.com,2,False,2025-03-23
Priori Legal,priorilegal.com,2,False,2025-03-23
Legal Tech Directory,legaltechdirectory.com,3,False,2025-03-23
Stanford CodeX,techindex.law.stanford.edu,3,False,2025-03-23
Legal IT Professionals,legalitprofessionals.com,3,False,2025-03-23
Legal IT Insider,legaltechnology.com,3,False,2025-03-23
ILTA,iltanet.org,3,False,2025-03-23
